Target system,Injected fault,Fault notes,Possible Initial observations,
3 cubes,cable detached from switch,One of the cables connected to the switch ahs been detached,The lamp does not turn on when the switch is operated,
,,,The green led on top of the power supply module is on,
,,,The red led on top of the control module is off,
,,,,
3 cubes,burned lamp filaments,Internal lamp fault,The lamp does not turn on when the switch is operated,
,,,The green led on top of the power supply module is on,
,,,The red led on top of the control module is off,
,,,,
3 cubes,battery depleted,Battery is depleted,The lamp does not turn on when the switch is operated,
,,,The green led on top of the power supply module is off,
,,,The red led on top of the control module is off,
,,,,
3 cubes,battery reversed,Battery has been installed incorrectly,The lamp does not turn on when the switch is operated,
,,,The green led on top of the power supply module is off,
,,,The red led on top of the control module is off,
,,,,
3 cubes,crossed wires,"The cables between the control module and the load module (or between the power supply module and the control module) are crossed, resulting in reverse voltage being supplied to the load",The lamp does not turn on when the switch is operated,
,,,The green led on top of the power supply module is on,
,,,The red led on top of the control module is on,
,,,,
3 cubes,switch internal fault,KO switch (always open or always closed),The lamp does not turn on when the switch is operated,
,,,The green led on top of the power supply module is on,
,,,The red led on top of the control module is off,
,,,,
3 cubes,double fault,any combination of two of the above faults,,
,,,,
,,,,
,,,,
10 cubes,***all of the 3 cubes faults***,All the 3 cubes faults can be injected in the 10 cubes system,,
,,,,
,,,,
,,,,
10 cubes,cable detached from switch in control x,One of the 8 switches modules is detatched from one of the corresponding cables. To make testing more challenging all the control module leds have been removed. Fastest way to diagnose is to use the power supply led to bisect-testing the control modules. ,The led on the power supply module is on,
,,,All the leds on the control modules are missing ,
,,,The lamp does not turn on when a battery is inserted in the circuit and all the switches are in the on position,
,,,,
10 cubes,measliding double control failure,"Leds are off from one control module onward, say control number 3 (included). However, in the first problematic control module, only the indicator itself has failed. The second problematic control module actually contains a switch failure. This induces the diagnoser to think that there is a switch failure in the first control module","The lamp does not turn on when all the switches are in the on position (that is, they are closed)",
,,,The power supply led is on,
,,,"All led are present on their seats on the control modules, however, only the first two are ON, the third led, and the subsequent control module leds are always OFF, irrespective of all the swith positions",
,,,,
ambient light sensor,***all of the 3 cubes faults***,All the 3 cubes faults can be injected in the ambient light sensor system,,
,,,,
,,,,
,,,,
ambient light sensor,feedback loop with the light sensor,Flickering light due to the sensor reading the output of the lamp,The lamp flickers on and off,
,,,The green led on top of the power supply module is on,
,,,The red led on top of the control module is off,
