Problem, Possible Cause, Troubleshooting procedure
No power is supplied, exhausted battery, test and/or replace battery
No power is supplied, damaged battery, test and/or replace battery
No power is supplied, faulty battery case, test case ports
Lamp does not turn on, burned lamp filaments, test and/or replace lamp
Lamp does not turn on, internal sensor fault, test and/or replace sensor
Lamp does not turn on, external sensor fault, inspect sensor for dirt or blocking objects
Lamp does not turn on, inverted cables polarity, check control module indicator
Lamp does not turn on, disconnected wiring, check cables throught the circuit
Lamp does not turn on, lamp installed improperly, check lamp

